policy_id,source,sdlc_stage,sdlc_confidence,sdlc_secondary_stages,sdlc_rationale,scope,policy_description,reference
SSDF-010,NIST_SP800218,Planning,high,,PO.2.1 creates and maintains security roles and responsibilities for SDLC participants, a planning activity.,"Organization-level software development; SDLC participants","PO.2.1: Create new roles and alter responsibilities for existing roles as needed to encompass all parts of the software development SDLC. Periodically review and maintain the defined roles and responsibilities, updating them as needed.","BSAFSS: PD.2-1, PD.2-2; EO14028: 4e(ix); NISTCSF: ID.AM-6, ID.GV-2"
SSDF-011,NIST_SP800218,Planning,high,,PO.2.2 provides role-based training for secure development personnel, a planning activity.,"Personnel with development-related responsibilities","PO.2.2: Provide role-based training for all personnel with responsibilities that contribute to secure development. Periodically review personnel proficiency and role-based training, and update the training as needed.","EO14028: 4e(ix); NISTCSF: PR.AT"
SSDF-012,NIST_SP800218,Planning,high,,PO.2.3 obtains upper management commitment to secure development, a planning/governance activity.,"Organization leadership and authorizing officials for SDLC","PO.2.3: Obtain upper management or authorizing official commitment to secure development, and convey that commitment to all with development-related roles and responsibilities.","NISTCSF: ID.RM-1, ID.SC-1"
SSDF-013,NIST_SP800218,Planning,high,Implementation,PO.3.1 specifies which tools must be included in each toolchain, a planning activity.,"Organization-level toolchains used in software development","PO.3.1: Specify which tools or tool types must or should be included in each toolchain to mitigate identified risks, as well as how the toolchain components are to be integrated with each other.","EO14028: 4e(iii), 4e(ix)"
SSDF-014,NIST_SP800218,Implementation,high,Deployment,PO.3.2 deploys, operates, and maintains tools and toolchains securely, spanning implementation and deployment.,"Tools and toolchains used during the SDLC","PO.3.2: Follow recommended security practices to deploy, operate, and maintain tools and toolchains.","EO14028: 4e(i)(F), 4e(ii), 4e(iii), 4e(v), 4e(vi), 4e(ix)"
SSDF-015,NIST_SP800218,Implementation,high,,PO.3.3 configures tools to generate artifacts supporting secure development, an implementation activity.,"Tools and automation used to support secure development","PO.3.3: Configure tools to generate artifacts of their support of secure software development practices as defined by the organization.","EO14028: 4e(i)(F), 4e(ii), 4e(v), 4e(ix)"
SSDF-016,NIST_SP800218,Testing,high,Planning,PO.4.1 defines criteria for software security checks, a planning/testing activity.,"Organization-level software security checks used during development","PO.4.1: Define criteria for software security checks.","EO14028: 4e(iv), 4e(v), 4e(ix)"
SSDF-017,NIST_SP800218,Testing,high,Planning,PO.4.2 implements processes to gather and safeguard information supporting security check criteria, a testing/planning activity.,"Organization-level software security criteria and associated data collection","PO.4.2: Implement processes, mechanisms, etc. to gather and safeguard the necessary information in support of the criteria.","EO14028: 4e(iv), 4e(v), 4e(ix)"
SSDF-018,NIST_SP800218,Implementation,high,Deployment,PO.5.1 separates and protects development environments, spanning implementation pipeline and deployment.,"Software development environments (development, build, test, staging, production, distribution)","PO.5.1: Separate and protect each environment involved in software development.","EO14028: 4e(i)(A), 4e(i)(B), 4e(i)(C), 4e(i)(D), 4e(i)(F), 4e(ii), 4e(iii), 4e(v), 4e(vi), 4e(ix)"
SSDF-019,NIST_SP800218,Implementation,high,,PO.5.2 secures and hardens development endpoints, an implementation/operational security activity.,"Development endpoints used by designers, developers, testers, builders, etc.","PO.5.2: Secure and harden development endpoints to perform development-related tasks using a risk-based approach.","EO14028: 4e(i)(C), 4e(i)(E), 4e(i)(F), 4e(ii), 4e(iii), 4e(v), 4e(vi), 4e(ix)"
SSDF-020,NIST_SP800218,Implementation,high,Deployment,PS.1.1 stores all code forms and restricts access based on code nature, spanning implementation and deployment.,"All forms of code and related repositories used by the organization","PS.1.1: Store all forms of code – including source code, executable code, and configuration-as-code – and restrict access to it based on the nature of the code.","EO14028: 4e(iii), 4e(iv), 4e(ix)"
SSDF-021,NIST_SP800218,Deployment,high,,PS.2.1 makes software integrity verification information available to acquirers, a deployment/release activity.,"Software releases and release artifacts provided to acquirers","PS.2.1: Make software integrity verification information available to software acquirers.","EO14028: 4e(iii), 4e(ix), 4e(x)"
SSDF-022,NIST_SP800218,Deployment,high,,PS.3.1 securely archives files and data for each software release, a deployment/release activity.,"Software releases and archival of release artifacts","PS.3.1: Securely archive the necessary files and supporting data (e.g., integrity verification information, provenance data) to be retained for each software release.","EO14028: 4e(iii), 4e(vi), 4e(ix), 4e(x)"
SSDF-023,NIST_SP800218,Deployment,high,Maintenance,PS.3.2 collects, safeguards, and shares provenance data (SBOM) for all release components, a deployment and maintenance activity.,"All components of each software release (including third-party components)","PS.3.2: Collect, safeguard, maintain, and share provenance data for all components of each software release (e.g., in a software bill of materials [SBOM]).","EO14028: 4e(vi), 4e(vii), 4e(ix), 4e(x); NTIASBOM: All"
SSDF-024,NIST_SP800218,Design,high,Requirements Analysis,PW.1.1 uses threat modeling/attack surface mapping to assess security risk for software, a design activity.,"","PW.1.1: Use forms of risk modeling such as threat modeling, attack modeling, or attack surface mapping to help assess the security risk for the software.","EO14028: 4e(ix); OWASPASVS: 1.1.2"
SSDF-025,NIST_SP800218,Design,high,Implementation,PW.1.2 tracks and maintains software security requirements, risks, and design decisions, a design activity.,"","PW.1.2: Track and maintain the software's security requirements, risks, and design decisions.","EO14028: 4e(v), 4e(ix); OWASPASVS: 1.1.3, 1.1.4"
SSDF-026,NIST_SP800218,Design,high,Implementation,PW.1.3 builds in support for standardized security features rather than proprietary implementations, a design activity.,"","PW.1.3: Where appropriate, build in support for using standardized security features and services (e.g., enabling software to integrate with existing log management, identity management, access control, and vulnerability management systems) instead of creating proprietary implementations of security features and services.","EO14028: 4e(ix); OWASPASVS: 1.1.6"
SSDF-027,NIST_SP800218,Design,high,Testing,PW.2.1 has qualified personnel review software design to confirm it meets security requirements, a design review activity.,"","PW.2.1: Have a qualified person who was not involved with the design review the software design to confirm and enforce that it meets all security requirements and satisfactorily addresses the identified risk information.","EO14028: 4e(iv), 4e(v), 4e(ix)"
SSDF-028,NIST_SP800218,Implementation,high,Planning,PW.4.1 acquires and maintains well-secured third-party software components, an implementation/supply chain activity.,"","PW.4.1: Acquire and maintain well-secured software components (e.g., software libraries, modules, middleware, frameworks) from commercial, open-source, and other third-party developers for use by the organization's software.","EO14028: 4e(iii), 4e(vi), 4e(ix), 4e(x)"
SSDF-029,NIST_SP800218,Implementation,high,,PW.4.2 creates and maintains well-secured software components in-house following SDLC processes, an implementation activity.,"in-house created software components intended to meet common internal needs","PW.4.2: Create and maintain well-secured software components in-house following SDLC processes to meet common internal software development needs that cannot be better met by third-party software components.","EO14028: 4e(ix)"
SSDF-030,NIST_SP800218,Implementation,high,Maintenance,PW.4.4 verifies third-party components comply with organizational requirements throughout their lifecycle, spanning implementation and maintenance.,"","PW.4.4: Verify that acquired commercial, open-source, and all other third-party software components comply with the requirements, as defined by the organization, throughout their life cycles.","EO14028: 4e(iii), 4e(iv), 4e(vi), 4e(ix), 4e(x)"
SSDF-031,NIST_SP800218,Implementation,high,,PW.5.1 follows all secure coding practices appropriate to the development languages and environment, an implementation activity.,"","PW.5.1: Follow all secure coding practices that are appropriate to the development languages and environment to meet the organization's requirements.","EO14028: 4e(iv), 4e(ix)"
SSDF-032,NIST_SP800218,Implementation,high,,PW.6.1 uses compiler, interpreter, and build tools that offer executable security improvements, an implementation/build activity.,"","PW.6.1: Use compiler, interpreter, and build tools that offer features to improve executable security.","EO14028: 4e(iv), 4e(ix)"
SSDF-033,NIST_SP800218,Implementation,high,,PW.6.2 configures compiler, interpreter, and build tools with approved security configurations, an implementation/build activity.,"","PW.6.2: Determine which compiler, interpreter, and build tool features should be used and how each should be configured, then implement and use the approved configurations.","EO14028: 4e(iv), 4e(ix)"
SSDF-034,NIST_SP800218,Testing,high,Implementation,PW.7.1 determines whether code review or code analysis should be used, a testing phase decision.,"human-readable code","PW.7.1: Determine whether code review and/or code analysis should be used to find issues.","EO14028: 4e(iv), 4e(ix)"
SSDF-035,NIST_SP800218,Testing,high,,PW.7.2 performs code review/analysis based on secure coding standards and records all discovered issues, a testing activity.,"code subject to the organization's secure coding standards","PW.7.2: Perform the code review and/or code analysis based on the organization's secure coding standards, and record and triage all discovered issues and recommended remediations in the development team's workflow or issue tracking system.","EO14028: 4e(iv), 4e(v), 4e(ix)"
SSDF-036,NIST_SP800218,Testing,high,,PW.8.1 determines whether executable code testing should be performed, a testing activity.,"executable code","PW.8.1: Determine whether executable code testing should be performed to find vulnerabilities not identified by previous reviews, analysis, or testing and, if so, which types of testing should be used.","EO14028: 4e(ix)"
SSDF-037,NIST_SP800218,Testing,high,,PW.8.2 scopes, designs, performs, and documents executable code testing, a testing activity.,"","PW.8.2: Scope the testing, design the tests, perform the testing, and document the results, including recording and triaging all discovered issues and recommended remediations in the development team's workflow or issue tracking system.","EO14028: 4e(iv), 4e(v), 4e(ix)"
SSDF-038,NIST_SP800218,Design,high,Deployment,PW.9.1 defines a secure baseline by determining how to configure settings for secure defaults, a design activity.,"","PW.9.1: Define a secure baseline by determining how to configure each setting that has an effect on security or a security-related setting so that the default settings are secure and do not weaken the security functions provided by the platform, network infrastructure, or services.","EO14028: 4e(iv), 4e(ix)"
SSDF-039,NIST_SP800218,Deployment,high,Implementation,PW.9.2 implements the default settings and documents them for software administrators, a deployment-time activity.,"default settings for software administrators","PW.9.2: Implement the default settings (or groups of default settings, if applicable), and document each setting for software administrators.","EO14028: 4e(iv), 4e(ix)"
SSDF-040,NIST_SP800218,Maintenance,high,Testing,RV.1.1 gathers vulnerability information from acquirers, users, and public sources and investigates credible reports, a maintenance/vulnerability management activity.,"sources of information about potential vulnerabilities in software and third-party components","RV.1.1: Gather information from software acquirers, users, and public sources on potential vulnerabilities in the software and third-party components that the software uses, and investigate all credible reports.","EO14028: 4e(iv), 4e(vi), 4e(viii), 4e(ix)"
SSDF-041,NIST_SP800218,Maintenance,high,Testing,RV.1.2 reviews, analyzes, and/or tests code to identify previously undetected vulnerabilities, a maintenance/testing activity.,"the software's code","RV.1.2: Review, analyze, and/or test the software's code to identify or confirm the presence of previously undetected vulnerabilities.","EO14028: 4e(iv), 4e(vi), 4e(viii), 4e(ix)"
SSDF-042,NIST_SP800218,Maintenance,high,,RV.1.3 establishes a vulnerability disclosure and remediation policy, a maintenance/governance activity.,"","RV.1.3: Have a policy that addresses vulnerability disclosure and remediation, and implement the roles, responsibilities, and processes needed to support that policy.","EO14028: 4e(viii), 4e(ix)"
SSDF-043,NIST_SP800218,Maintenance,high,,RV.2.1 analyzes each vulnerability for risk information to plan remediation, a maintenance activity.,"each identified vulnerability","RV.2.1: Analyze each vulnerability to gather sufficient information about risk to plan its remediation or other risk response.","EO14028: 4e(iv), 4e(viii), 4e(ix)"
SSDF-044,NIST_SP800218,Maintenance,high,,RV.2.2 plans and implements risk responses for vulnerabilities, a maintenance activity.,"vulnerabilities to be remediated or otherwise addressed","RV.2.2: Plan and implement risk responses for vulnerabilities.","EO14028: 4e(iv), 4e(vi), 4e(viii), 4e(ix)"
SSDF-045,NIST_SP800218,Maintenance,high,,RV.3.1 analyzes identified vulnerabilities to determine their root causes, a maintenance activity.,"identified vulnerabilities","RV.3.1: Analyze identified vulnerabilities to determine their root causes.","EO14028: 4e(ix)"
SSDF-046,NIST_SP800218,Maintenance,high,,RV.3.2 analyzes root causes over time to identify patterns in vulnerability recurrence, a maintenance activity.,"","RV.3.2: Analyze the root causes over time to identify patterns, such as a particular secure coding practice not being followed consistently.","EO14028: 4e(ix)"
SSDF-047,NIST_SP800218,Maintenance,high,Testing,RV.3.3 reviews software for similar vulnerabilities to eradicate a class of vulnerabilities, a maintenance/testing activity.,"the software and updates","RV.3.3: Review the software for similar vulnerabilities to eradicate a class of vulnerabilities, and proactively fix them rather than waiting for external reports.","EO14028: 4e(iv), 4e(viii), 4e(ix)"
SSDF-048,NIST_SP800218,Maintenance,high,Planning,RV.3.4 reviews and updates the SDLC process to prevent root cause recurrence, a maintenance/planning activity.,"the SDLC process","RV.3.4: Review the SDLC process, and update it if appropriate to prevent (or reduce the likelihood of) the root cause recurring in updates to the software or in new software that is created.","EO14028: 4e(ix)"
AIAS-001,OWASP_AI_Agent_Security,Design,high,Implementation,Granting agents minimum required tools is a least-privilege design principle for AI agent architecture.,"AI agents","Grant agents the minimum tools required for their specific task.","1. Tool Security & Least Privilege; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-002,OWASP_AI_Agent_Security,Design,high,Implementation,Implementing per-tool permission scoping is a design decision for AI agent access control.,"tools available to AI agents","Implement per-tool permission scoping (read-only vs. write, specific resources).","1. Tool Security & Least Privilege; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-003,OWASP_AI_Agent_Security,Design,high,,Using separate tool sets for different trust levels is an AI agent security architecture design decision.,"AI agents grouped by trust level","Use separate tool sets for different trust levels (e.g., internal vs. user-facing agents).","1. Tool Security & Least Privilege; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-004,OWASP_AI_Agent_Security,Design,high,Implementation,Requiring explicit tool authorization for sensitive operations is a design principle for AI agent security.,"sensitive operations performed by AI agents","Require explicit tool authorization for sensitive operations.","1. Tool Security & Least Privilege; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-005,OWASP_AI_Agent_Security,Implementation,high,Design,Treating all external data as untrusted is first enforced during implementation of AI agent input handling.,"","Treat all external data as untrusted (user messages, retrieved documents, API responses, emails).","2. Input Validation & Prompt Injection Defense; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-006,OWASP_AI_Agent_Security,Implementation,high,,Input sanitization before including external content in agent context is an implementation-level coding practice.,"before including external content in agent context","Implement input sanitization before including external content in agent context.","2. Input Validation & Prompt Injection Defense; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-007,OWASP_AI_Agent_Security,Implementation,high,Design,Using delimiters and clear boundaries between instructions and data is primarily an implementation technique.,"agent prompt generation and context construction","Use delimiters and clear boundaries between instructions and data.","2. Input Validation & Prompt Injection Defense; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-008,OWASP_AI_Agent_Security,Implementation,high,,Applying content filtering for known injection patterns is an implementation-level security control.,"input processing for AI agents","Apply content filtering for known injection patterns.","2. Input Validation & Prompt Injection Defense; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-009,OWASP_AI_Agent_Security,Implementation,high,,Using separate LLM calls to validate/summarize untrusted content is an implementation technique.,"processing untrusted content for AI agents","Consider using separate LLM calls to validate/summarize untrusted content.","2. Input Validation & Prompt Injection Defense; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-010,OWASP_AI_Agent_Security,Implementation,high,,Validating and sanitizing data before storing in agent memory is an implementation-level coding practice.,"data before storage in agent memory","Validate and sanitize data before storing in agent memory.","3. Memory & Context Security; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-011,OWASP_AI_Agent_Security,Design,high,Implementation,Implementing memory isolation between users/sessions is a design decision for AI agent architecture.,"agent memory handling across users and sessions","Implement memory isolation between users/sessions.","3. Memory & Context Security; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-012,OWASP_AI_Agent_Security,Implementation,high,Design,Setting memory expiration and size limits is primarily enforced during implementation.,"agent memory management","Set memory expiration and size limits.","3. Memory & Context Security; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-013,OWASP_AI_Agent_Security,Implementation,high,,Auditing memory contents for sensitive data before persistence is an implementation-level practice.,"before persisting agent memory","Audit memory contents for sensitive data before persistence.","3. Memory & Context Security; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-014,OWASP_AI_Agent_Security,Implementation,high,,Using cryptographic integrity checks for long-term memory is an implementation-level security practice.,"long-term agent memory","Use cryptographic integrity checks for long-term memory.","3. Memory & Context Security; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-015,OWASP_AI_Agent_Security,Design,high,Implementation,Requiring explicit approval for high-impact or irreversible actions is a design principle for human-in-the-loop controls.,"high-impact or irreversible actions proposed by agents","Require explicit approval for high-impact or irreversible actions.","4. Human-in-the-Loop Controls; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-016,OWASP_AI_Agent_Security,Implementation,high,Design,Implementing action previews before execution is enforced during implementation.,"human review prior to agent action execution","Implement action previews before execution.","4. Human-in-the-Loop Controls; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-017,OWASP_AI_Agent_Security,Design,high,,Setting autonomy boundaries based on action risk levels is a design/architectural decision.,"agent autonomy policies","Set autonomy boundaries based on action risk levels.","4. Human-in-the-Loop Controls; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-018,OWASP_AI_Agent_Security,Implementation,high,Maintenance,Providing clear audit trails of agent decisions and actions is an implementation and maintenance practice.,"agent decision logging and accountability","Provide clear audit trails of agent decisions and actions.","4. Human-in-the-Loop Controls; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-019,OWASP_AI_Agent_Security,Implementation,high,Design,Allowing users to interrupt and rollback agent operations is primarily an implementation concern.,"user interaction with agents","Allow users to interrupt and rollback agent operations.","4. Human-in-the-Loop Controls; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-020,OWASP_AI_Agent_Security,Implementation,high,,Validating agent outputs before execution or display is an implementation-level practice.,"before executing or displaying agent outputs","Validate agent outputs before execution or display.","5. Output Validation & Guardrails; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-021,OWASP_AI_Agent_Security,Implementation,high,,Implementing output filtering for sensitive data leakage is an implementation-level coding practice.,"agent output handling","Implement output filtering for sensitive data leakage.","5. Output Validation & Guardrails; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-022,OWASP_AI_Agent_Security,Implementation,high,Design,Using structured outputs with schema validation is primarily an implementation technique.,"agent generated outputs","Use structured outputs with schema validation where possible.","5. Output Validation & Guardrails; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-023,OWASP_AI_Agent_Security,Implementation,high,Design,Setting output action rate limits and scope limits is primarily an implementation practice.,"agent output actions","Set boundaries on output actions (rate limits, scope limits).","5. Output Validation & Guardrails; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-024,OWASP_AI_Agent_Security,Implementation,high,,Applying content safety filters to generated responses is an implementation-level control.,"generated responses from agents","Apply content safety filters to generated responses.","5. Output Validation & Guardrails; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-025,OWASP_AI_Agent_Security,Implementation,high,Maintenance,Logging all agent decisions, tool calls, and outcomes is an implementation-level observability practice.,"agent operations and actions","Log all agent decisions, tool calls, and outcomes.","6. Monitoring & Observability; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-026,OWASP_AI_Agent_Security,Implementation,high,Maintenance,Implementing anomaly detection for unusual agent behavior is applied during implementation and maintained at runtime.,"agent runtime monitoring","Implement anomaly detection for unusual agent behavior.","6. Monitoring & Observability; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-027,OWASP_AI_Agent_Security,Implementation,high,Maintenance,Tracking token usage and costs per session/user is an implementation and monitoring practice.,"per session/user monitoring of AI agent usage","Track token usage and costs per session/user.","6. Monitoring & Observability; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-028,OWASP_AI_Agent_Security,Implementation,high,Maintenance,Setting up alerts for security-relevant events is primarily an implementation and monitoring practice.,"security-relevant events in AI agent systems","Set up alerts for security-relevant events.","6. Monitoring & Observability; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-029,OWASP_AI_Agent_Security,Implementation,high,Maintenance,Maintaining audit trails for compliance and forensics is an implementation and operational practice.,"auditing for compliance and forensic investigation","Maintain audit trails for compliance and forensics.","6. Monitoring & Observability; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-030,OWASP_AI_Agent_Security,Design,high,Implementation,Implementing trust boundaries between agents is a multi-agent security architecture design decision.,"multi-agent systems","Implement trust boundaries between agents.","7. Multi-Agent Security; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-031,OWASP_AI_Agent_Security,Implementation,high,Design,Validating and sanitizing inter-agent communications is enforced during implementation.,"inter-agent communication channels","Validate and sanitize inter-agent communications.","7. Multi-Agent Security; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-032,OWASP_AI_Agent_Security,Design,high,Implementation,Preventing privilege escalation through agent chains is a multi-agent security design principle.,"chains of agents interacting","Prevent privilege escalation through agent chains.","7. Multi-Agent Security; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-033,OWASP_AI_Agent_Security,Design,high,Implementation,Isolating agent execution environments is a multi-agent security architecture decision.,"execution environments for agents","Isolate agent execution environments.","7. Multi-Agent Security; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-034,OWASP_AI_Agent_Security,Design,high,Implementation,Applying circuit breakers to prevent cascading failures is a multi-agent resilience design pattern.,"multi-agent deployments to prevent propagation of faults","Apply circuit breakers to prevent cascading failures.","7. Multi-Agent Security; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-035,OWASP_AI_Agent_Security,Implementation,high,,Minimizing sensitive data in agent context is an implementation-level data protection practice.,"agent context","Minimize sensitive data in agent context.","8. Data Protection & Privacy; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-036,OWASP_AI_Agent_Security,Design,high,Implementation,Implementing data classification and handling rules is primarily a design decision.,"data handling processes for agents","Implement data classification and handling rules.","8. Data Protection & Privacy; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-037,OWASP_AI_Agent_Security,Implementation,high,,Applying encryption for data at rest and in transit is an implementation-level data protection practice.,"data storage and transmission for agents","Apply encryption for data at rest and in transit.","8. Data Protection & Privacy; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-038,OWASP_AI_Agent_Security,Planning,high,Maintenance,Enforcing data retention and deletion policies is a planning/governance decision also applied in maintenance.,"data lifecycle in agent systems","Enforce data retention and deletion policies.","8. Data Protection & Privacy; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-039,OWASP_AI_Agent_Security,Planning,high,,Complying with privacy regulations (GDPR, CCPA) is a planning/governance requirement.,"organizational compliance for agent systems","Comply with privacy regulations (GDPR, CCPA).","8. Data Protection & Privacy; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-040,OWASP_AI_Agent_Security,Design,high,Implementation,Applying least privilege to all agent tools and permissions is a design principle (reinforcing AIAS-001/002).,"agent tools and permissions","Apply least privilege to all agent tools and permissions.","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-041,OWASP_AI_Agent_Security,Implementation,high,,Validating and sanitizing all external inputs is an implementation-level coding practice.,"","Validate and sanitize all external inputs (user messages, documents, API responses).","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-042,OWASP_AI_Agent_Security,Design,high,Implementation,Implementing human-in-the-loop for high-risk actions is a design principle.,"high-risk agent actions","Implement human-in-the-loop for high-risk actions.","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-043,OWASP_AI_Agent_Security,Design,high,Implementation,Isolating memory and context between users/sessions is a design architecture principle.,"between users and sessions","Isolate memory and context between users/sessions.","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-044,OWASP_AI_Agent_Security,Implementation,high,Maintenance,Monitoring agent behavior and setting up anomaly detection spans implementation and maintenance.,"agent runtime monitoring","Monitor agent behavior and set up anomaly detection.","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-045,OWASP_AI_Agent_Security,Implementation,high,,Using structured outputs with schema validation is an implementation technique.,"agent output generation","Use structured outputs with schema validation.","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-046,OWASP_AI_Agent_Security,Implementation,high,,Signing and verifying inter-agent communications is an implementation-level security practice.,"inter-agent communications","Sign and verify inter-agent communications.","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-047,OWASP_AI_Agent_Security,Design,high,Implementation,Classifying data and applying appropriate protections is a design/architecture decision.,"data management in agent systems","Classify data and apply appropriate protections.","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-048,OWASP_AI_Agent_Security,Design,high,Implementation,Prohibition against giving agents unrestricted tool access is a design principle (negatively stated).,"agent tool permissioning","Do not give agents unrestricted tool access or wildcard permissions.","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-049,OWASP_AI_Agent_Security,Implementation,high,,Prohibition against trusting external content without validation is enforced during implementation.,"external content consumed by agents","Do not trust content from external sources (websites, emails, documents) without validation.","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-050,OWASP_AI_Agent_Security,Design,high,Implementation,Prohibition against allowing agents to execute arbitrary code without sandboxing is a design principle.,"execution of code by agents","Do not allow agents to execute arbitrary code without sandboxing.","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-051,OWASP_AI_Agent_Security,Implementation,high,,Prohibition against storing sensitive data in agent memory without encryption/redaction is an implementation concern.,"agent memory storage","Do not store sensitive data in agent memory without encryption/redaction.","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-052,OWASP_AI_Agent_Security,Design,high,Implementation,Prohibition against letting agents make high-impact decisions without human oversight is a design principle.,"high-impact decisions made by agents","Do not let agents make high-impact decisions without human oversight.","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
AIAS-053,OWASP_AI_Agent_Security,Implementation,high,Design,Prohibition against ignoring cost controls that allow unbounded loops is primarily enforced during implementation.,"cost controls for agent systems","Do not ignore cost controls (unbounded loops can cause Denial of Wallet).","Do's and Don'ts; https://cheatsheetseries.owasp.org/cheatsheets/AI_Agent_Security_Cheat_Sheet.html"
