source_file,definition,scope,policy_description,reference,agent_stage_primary,agent_stage_secondary,agent_stage_reason
OWASP_ASVS.json,Memory safety: The practice of ensuring that memory is accessed safely to prevent vulnerabilities.,All applications that use system languages or unmanaged code.,"Verify that the application uses memory-safe strings, safer memory copy, and pointer arithmetic to detect or prevent stack, buffer, or heap overflows.",Application Security Verification Standard May 2025,Evaluation/Reflection,Observation,"Primary cues: \bverif(?:y|ication)\b, \bvulnerabilit(?:y|ies)\b."
OWASP_ASVS.json,Integer overflow: A condition where an arithmetic operation exceeds the maximum limit of an integer type.,All applications that perform integer operations.,"Verify that sign, range, and input validation techniques are used to prevent integer overflows.",Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,Primary cues: \binput validation\b.
OWASP_ASVS.json,Memory management: The process of managing computer memory.,All applications that allocate memory.,"Verify that dynamically allocated memory and resources are released, and that references or pointers to freed memory are removed or set to null to prevent dangling pointers and use-after-free vulnerabilities.",Application Security Verification Standard May 2025,Evaluation/Reflection,,"Primary cues: \bverif(?:y|ication)\b, \bvulnerabilit(?:y|ies)\b."
OWASP_ASVS.json,Deserialization: The process of converting data from a stored or transmitted representation into actual application objects.,All applications that perform deserialization.,"Verify that deserialization of untrusted data enforces safe input handling, such as using an allowlist of object types or restricting client-defined object types, to prevent deserialization attacks.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,XML parser: A component that reads XML documents and provides access to their content.,All applications that use XML parsers.,Verify that the application configures XML parsers to use a restrictive configuration and that unsafe features such as resolving external entities are disabled to prevent XML External Entity (XXE) attacks.,Application Security Verification Standard May 2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bconfigure|configuration\b.
OWASP_ASVS.json,HTTP response: A message sent by a server in response to a client's request.,All applications that send HTTP responses.,"Verify that every HTTP response with a message body contains a Content-Type header field that matches the actual content of the response, including the charset parameter to specify safe character encoding (e.g., UTF-8, ISO-8859-1) according to IANA Media Types.",Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,Primary cues: \bencoding\b.
OWASP_ASVS.json,HTTP redirect: A response that instructs the client to request a different URL.,All applications that implement HTTP redirects.,"Verify that only user-facing endpoints (intended for manual web-browser access) automatically redirect from HTTP to HTTPS, while other services or endpoints do not implement transparent redirects.",Application Security Verification Standard May 2025,Perception/Input,Action/Tool Use; Evaluation/Reflection,Primary cues: \burl\b.
OWASP_ASVS.json,"HTTP method: A request method supported by HTTP, such as GET, POST, PUT, DELETE.",All applications that support HTTP methods.,Verify that only HTTP methods that are explicitly supported by the application or its API (including OPTIONS during preflight requests) can be used and that unused methods are blocked.,Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,Digital signatures: A mathematical scheme for verifying the authenticity and integrity of a message.,All applications that handle sensitive requests or transactions.,Verify that per-message digital signatures are used to provide additional assurance on top of transport protections for requests or transactions which are highly sensitive or which traverse a number of systems.,Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,HTTP message: A formatted message sent over HTTP.,All applications that process HTTP messages.,"Verify that all application components (including load balancers, firewalls, and application servers) determine boundaries of incoming HTTP messages using the appropriate mechanism for the HTTP version to prevent HTTP request smuggling.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,HTTP header: A component of the HTTP protocol that carries additional information about the request or response.,All applications that send or receive HTTP headers.,Verify that the application does not send nor accept HTTP/2 or HTTP/3 messages with connection-specific header fields such as Transfer-Encoding to prevent response splitting and header injection attacks.,Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,"Primary cues: \bencoding\b, \binjection\b."
OWASP_ASVS.json,GraphQL: A query language for APIs and a runtime for fulfilling those queries with existing data.,All applications that expose GraphQL APIs.,"Verify that a query allowlist, depth limiting, amount limiting, or query cost analysis is used to prevent GraphQL or data layer expression Denial of Service (DoS) as a result of expensive, nested queries.",Application Security Verification Standard May 2025,Evaluation/Reflection,,"Primary cues: \bverif(?:y|ication)\b, \banaly(?:ze|sis)\b."
OWASP_ASVS.json,WebSocket: A communication protocol that provides full-duplex communication channels over a single TCP connection.,All applications that use WebSocket connections.,Verify that WebSocket over TLS (WSS) is used for all WebSocket connections.,Application Security Verification Standard May 2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bTLS|DTLS|WSS\b.
OWASP_ASVS.json,File upload: The process of transferring a file from a user's device to a server.,All applications that allow file uploads.,Verify that the application will only accept files of a size which it can process without causing a loss of performance or a denial of service attack.,Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,Primary cues: \bfile upload\b.
OWASP_ASVS.json,File extension: A suffix at the end of a filename that indicates the file type.,All applications that accept file uploads.,"Verify that when the application accepts a file, either on its own or within an archive such as a zip file, it checks if the file extension matches an expected file extension and validates that the contents correspond to the type represented by the extension.",Application Security Verification Standard May 2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bextension(s)?\b.
OWASP_ASVS.json,File size quota: A limit on the amount of storage space that can be used by a user.,All applications that manage user file storage.,"Verify that a file size quota and maximum number of files per user are enforced to ensure that a single user cannot fill up the storage with too many files, or excessively large files.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,Path traversal: A security vulnerability that allows an attacker to access files and directories that are stored outside the intended directory.,All applications that create file paths for file operations.,"Verify that when the application creates file paths for file operations, instead of user-submitted filenames, it uses internally generated or trusted data, or if user-submitted filenames or file metadata must be used, strict validation and sanitization must be applied.",Application Security Verification Standard May 2025,Evaluation/Reflection,Perception/Input; Memory Update,"Primary cues: \bverif(?:y|ication)\b, \bvulnerabilit(?:y|ies)\b."
OWASP_ASVS.json,"File processing: The act of manipulating files, such as reading, writing, or executing them.",All applications that process files.,"Verify that server-side file processing, such as file decompression, ignores user-provided path information to prevent vulnerabilities such as zip slip.",Application Security Verification Standard May 2025,Evaluation/Reflection,,"Primary cues: \bverif(?:y|ication)\b, \bvulnerabilit(?:y|ies)\b."
OWASP_ASVS.json,Session management: The process of managing user sessions in an application.,All applications that maintain user sessions.,"Verify that the user’s session inactivity timeout and absolute maximum session lifetime are documented, are appropriate in combination with other controls, and that the documentation includes justification for any deviations from NIST SP 800-63B re-authentication requirements.",Application Security Verification Standard May 2025,Memory Update,Evaluation/Reflection,"Primary cues: \bdocument(?:ed|ation)\b, \bmaintain\b."
OWASP_ASVS.json,Session token: A unique identifier that is used to manage a user's session.,All applications that use session tokens.,"Verify that the application performs all session token verification using a trusted, backend service.",Application Security Verification Standard May 2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \btoken(s)?\b.
OWASP_ASVS.json,Inactivity timeout: A period of time after which a session is automatically terminated due to inactivity.,All applications that manage user sessions.,Verify that there is an inactivity timeout such that re-authentication is enforced according to risk analysis and documented security decisions.,Application Security Verification Standard May 2025,Evaluation/Reflection,Memory Update,"Primary cues: \bverif(?:y|ication)\b, \banaly(?:ze|sis)\b."
OWASP_ASVS.json,Session termination: The process of ending a user session.,All applications that manage user sessions.,"Verify that when session termination is triggered (such as logout or expiration), the application disallows any further use of the session.",Application Security Verification Standard May 2025,Termination,,"Primary cues: \bsession termination\b, \blogout\b, \bexpiration\b."
OWASP_ASVS.json,Credential stuffing: An attack where an attacker uses stolen account credentials to gain unauthorized access.,All applications that implement authentication mechanisms.,Verify that controls to prevent attacks such as credential stuffing and password brute force are implemented according to the application’s security documentation.,Application Security Verification Standard May 2025,Action/Tool Use,Memory Update; Evaluation/Reflection,Primary cues: \bimplement\b.
OWASP_ASVS.json,Multi-factor authentication (MFA): A security mechanism that requires more than one form of verification to access an application.,All applications that require authentication.,Verify that either a multi-factor authentication mechanism or a combination of single-factor authentication mechanisms must be used in order to access the application.,Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,"Identity Provider (IdP): A service that creates, maintains, and manages identity information for users.",All applications that support multiple identity providers.,"Verify that if the application supports multiple identity providers (IdPs), the user’s identity cannot be spoofed via another supported identity provider (e.g., by using the same user identifier).",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,None,None,Verify that the application requires further authentication with at least one factor or secondary verification before performing highly sensitive transactions or operations.,ApplicationSecurityVerificationStandard May2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,None,None,"Verify that session lifetime and termination between Relying Parties (RPs) and Identity Providers (IdPs) behave as documented, requiring re-authentication as necessary such as when the maximum time between IdP authentication events is reached.",ApplicationSecurityVerificationStandard May2025,Memory Update,Evaluation/Reflection,Primary cues: \bdocument(?:ed|ation)\b.
OWASP_ASVS.json,None,None,"Verify that creation of a session requires either the user’s consent or an explicit action, preventing the creation of new application sessions without user interaction.",ApplicationSecurityVerificationStandard May2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,None,None,Verify that authorization documentation defines rules for restricting function-level and data-specific access based on consumer permissions and resource attributes.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Memory Update; Evaluation/Reflection,"Primary cues: \bauthorization\b, \bpermissions?\b."
OWASP_ASVS.json,None,None,Verify that authorization documentation defines rules for field-level access restrictions (both read and write) based on consumer permissions and resource attributes.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Memory Update; Evaluation/Reflection,"Primary cues: \bauthorization\b, \bpermissions?\b."
OWASP_ASVS.json,None,None,"Verify that the application’s documentation defines the environmental and contextual attributes (including but not limited to time of day, user location, IP address, or device) that are used in the application to make security decisions, including those pertaining to authentication and authorization.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Memory Update; Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,None,None,"Verify that authentication and authorization documentation defines how environmental and contextual factors are used in decision-making, in addition to function-level, data-specific, and field-level authorization.",ApplicationSecurityVerificationStandard May2025,Reasoning/Planning,Action/Tool Use; Memory Update,Primary cues: \bdecision\b.
OWASP_ASVS.json,None,None,Verify that the application ensures that function-level access is restricted to consumers with explicit permissions.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bpermissions?\b.
OWASP_ASVS.json,None,None,Verify that the application ensures that data-specific access is restricted to consumers with explicit permissions to specific data items to mitigate insecure direct object reference (IDOR) and broken object level authorization (BOLA).,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,"Primary cues: \bauthorization\b, \bpermissions?\b."
OWASP_ASVS.json,None,None,Verify that the application ensures that field-level access is restricted to consumers with explicit permissions to specific fields to mitigate broken object property level authorization (BOPLA).,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,"Primary cues: \bauthorization\b, \bpermissions?\b."
OWASP_ASVS.json,None,None,"Verify that adaptive security controls based on a consumer’s environmental and contextual attributes (such as time of day, location, IP address, or device) are implemented for authentication and authorization decisions, as defined in the application’s documentation.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Memory Update; Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,None,None,"Verify that the application enforces authorization rules at a trusted service layer and doesn’t rely on controls that an untrusted consumer could manipulate, such as client-side JavaScript.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,None,None,"Verify that changes to values on which authorization decisions are made are applied immediately. Where changes cannot be applied immediately, there must be mitigating controls to alert when a consumer performs an action when they are no longer authorized to do so and revert the change.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Observation; Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,None,None,"Verify that access to an object is based on the originating subject’s (e.g., consumer’s) permissions, not on the permissions of any intermediary or service acting on their behalf.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bpermissions?\b.
OWASP_ASVS.json,None,None,Verify that multi-tenant applications use cross-tenant controls to ensure consumer operations will never affect tenants with which they do not have permissions to interact.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bpermissions?\b.
OWASP_ASVS.json,None,None,"Verify that access to administrative interfaces incorporates multiple layers of security, including continuous consumer identity verification, device security posture assessment, and contextual risk analysis.",ApplicationSecurityVerificationStandard May2025,Evaluation/Reflection,,"Primary cues: \bverif(?:y|ication)\b, \bassess(?:ment)?\b, \banaly(?:ze|sis)\b."
OWASP_ASVS.json,None,None,Verify that self-contained tokens are validated using their digital signature or MAC to protect against tampering before accepting the token’s contents.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \btoken(s)?\b.
OWASP_ASVS.json,None,None,"Verify that only algorithms on an allowlist can be used to create and verify self-contained tokens, for a given context.",ApplicationSecurityVerificationStandard May2025,Memory Retrieval,Action/Tool Use; Evaluation/Reflection,Primary cues: \bcontext( window)?\b.
OWASP_ASVS.json,None,None,Verify that key material that is used to validate self-contained tokens is from trusted pre-configured sources for the token issuer.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,"Primary cues: \bconfigure|configuration\b, \btoken(s)?\b."
OWASP_ASVS.json,None,None,"Verify that if a validity timespan is present in the token data, the token and its content are accepted only if the verification time is within this validity timespan.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \btoken(s)?\b.
OWASP_ASVS.json,None,None,Verify that the service receiving a token validates the token to be the correct type and is meant for the intended purpose before accepting the token’s contents.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \btoken(s)?\b.
OWASP_ASVS.json,None,None,Verify that the service only accepts tokens which are intended for use with that service (audience).,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \btoken(s)?\b.
OWASP_ASVS.json,None,None,"Verify that if a token issuer uses the same private key for issuing tokens to different audiences, the issued tokens contain an audience restriction that uniquely identifies the intended audiences.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \btoken(s)?\b.
OWASP_ASVS.json,None,None,Verify that tokens are only sent to components that strictly need them.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \btoken(s)?\b.
OWASP_ASVS.json,None,None,Verify that the client only accepts values from the authorization server if these values result from an authorization flow that was initiated by the same user agent session and transaction.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,None,None,"Verify that if the code flow is used, the OAuth client has protection against browser-based request forgery attacks.",ApplicationSecurityVerificationStandard May2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,None,None,"Verify that if the OAuth client can interact with more than one authorization server, it has a defense against mix-up attacks.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,None,None,Verify that the OAuth client only requests the required scopes (or other authorization parameters) in requests to the authorization server.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,None,None,Verify that the resource server only accepts access tokens that are intended for use with that service (audience).,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \btoken(s)?\b.
OWASP_ASVS.json,None,None,Verify that the resource server enforces authorization decisions based on claims from the access token that define delegated authorization.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,"Primary cues: \bauthorization\b, \btoken(s)?\b."
OWASP_ASVS.json,None,None,"Verify that if an access control decision requires identifying a unique user from an access token, the resource server identifies the user from claims that cannot be reassigned to other users.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Reasoning/Planning; Evaluation/Reflection,"Primary cues: \baccess controls?\b, \btoken(s)?\b."
OWASP_ASVS.json,None,None,"Verify that if the resource server requires specific authentication strength, methods, or recentness, it verifies that the presented access token satisfies these constraints.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \btoken(s)?\b.
OWASP_ASVS.json,None,None,Verify that the authorization server validates redirect URIs based on a client-specific allowlist of pre-registered URIs using exact string comparison.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,None,None,"Verify that if the authorization server returns the authorization code in the authorization response, it can be used only once for a token request.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,"Primary cues: \bauthorization\b, \btoken(s)?\b."
OWASP_ASVS.json,None,None,Verify that the authorization code is short-lived.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,None,None,"Verify that for a given client, the authorization server only allows the usage of grants that this client needs to use.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,None,None,Verify that the authorization server mitigates refresh token replay attacks for public clients.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,"Primary cues: \bauthorization\b, \btoken(s)?\b."
OWASP_ASVS.json,None,None,"Verify that if the code grant is used, the authorization server mitigates authorization code interception attacks by requiring proof key for code exchange (PKCE).",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,None,None,Verify that refresh tokens have an absolute expiration.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection; Termination,Primary cues: \btoken(s)?\b.
OWASP_ASVS.json,None,None,Verify that refresh tokens and reference access tokens can be revoked by an authorized user using the authorization server user interface.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,"Primary cues: \bauthorization\b, \btoken(s)?\b."
OWASP_ASVS.json,None,None,Verify that the authorization server configuration only assigns the required scopes to the OAuth client.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,"Primary cues: \bconfigure|configuration\b, \bauthorization\b."
OWASP_ASVS.json,None,None,"Verify that for a given client, the authorization server only allows the 'response_mode' value that this client needs to use.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,None,None,Verify that the client is confidential and the authorization server requires the use of strong client authentication methods.,ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,None,None,Verify that the application is designed with strong cryptographic architecture to protect data assets according to their classification.,ApplicationSecurityVerificationStandard May2025,Reasoning/Planning,Evaluation/Reflection,Primary cues: \barchitecture\b.
OWASP_ASVS.json,None,None,Verify that there is a documented policy for management of cryptographic keys and a cryptographic key lifecycle that follows a key management standard such as NIST SP800-57.,ApplicationSecurityVerificationStandard May2025,Reasoning/Planning,Memory Update; Evaluation/Reflection,Primary cues: \bpolicy\b.
OWASP_ASVS.json,None,None,"Verify that a cryptographic inventory is performed, maintained, regularly updated, and includes all cryptographic keys, algorithms, and certificates used by the application.",ApplicationSecurityVerificationStandard May2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,None,None,Verify that all random numbers and strings which are intended to be non-guessable must be generated using a cryptographically secure pseudo-random number generator (CSPRNG) and have at least 128 bits of entropy.,ApplicationSecurityVerificationStandard May2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,None,None,"Verify that sensitive data is only sent to the server in the HTTP message body or header fields, and that the URL and query string do not contain sensitive information.",ApplicationSecurityVerificationStandard May2025,Perception/Input,Evaluation/Reflection,"Primary cues: \bquery string\b, \burl\b."
OWASP_ASVS.json,None,None,"Verify that the application prevents sensitive data from being cached in server components, such as load balancers and application caches, or ensure that the data is securely purged after use.",ApplicationSecurityVerificationStandard May2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,None,None,"Verify that controls around sensitive data related to encryption, integrity verification, retention, how the data is to be logged, access controls around sensitive data in logs, privacy and privacy-enhancing technologies are implemented as defined in the documentation for the specific data’s protection level.",ApplicationSecurityVerificationStandard May2025,Memory Update,Action/Tool Use; Evaluation/Reflection,"Primary cues: \bretention\b, \bdocument(?:ed|ation)\b."
OWASP_ASVS.json,None,None,Verify that sensitive information is removed from the metadata of user-submitted files unless storage is consented to by the user.,ApplicationSecurityVerificationStandard May2025,Memory Update,Evaluation/Reflection,Primary cues: \bmetadata\b.
OWASP_ASVS.json,None,None,Verify that the application does not expose detailed version information of backend components.,ApplicationSecurityVerificationStandard May2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,None,None,Verify that the application is deployed either without any source control metadata or in a way that these folders are inaccessible both externally and to the application itself.,ApplicationSecurityVerificationStandard May2025,Memory Retrieval,Memory Update; Evaluation/Reflection,Primary cues: \bsource control metadata\b.
OWASP_ASVS.json,None,None,Verify that debug modes are disabled for all components in production environments to prevent exposure of debugging features and information leakage.,ApplicationSecurityVerificationStandard May2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,None,None,Verify that web servers do not expose directory listings to clients unless explicitly intended.,ApplicationSecurityVerificationStandard May2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,None,None,"Verify that using the HTTP TRACE method is not supported in production environments, to avoid potential information leakage.",ApplicationSecurityVerificationStandard May2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,None,None,Verify that documentation (such as for internal APIs) and monitoring endpoints are not exposed unless explicitly intended.,ApplicationSecurityVerificationStandard May2025,Observation,Memory Update; Evaluation/Reflection,Primary cues: \bmonitor(?:ing)?\b.
OWASP_ASVS.json,None,None,"Verify that the web tier is configured to only serve files with specific file extensions to prevent unintentional information, configuration, and source code leakage.",ApplicationSecurityVerificationStandard May2025,Action/Tool Use,Evaluation/Reflection,"Primary cues: \bextension(s)?\b, \bconfigure|configuration\b."
OWASP_ASVS.json,data object || subset of fields,All applications utilizing data objects.,"Verify that the application only returns the required subset of fields from a data object. For example, it should not return an entire data object, as some individual fields should not be accessible to users.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,external URLs || redirects,All applications making calls to external URLs.,"Verify that where the application backend makes calls to external URLs, it is configured to not follow redirects unless it is intended functionality.",Application Security Verification Standard May 2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bconfigure|configuration\b.
OWASP_ASVS.json,mass assignment attacks || allowed fields || controller || action,All applications with user input handling.,"Verify that the application has countermeasures to protect against mass assignment attacks by limiting allowed fields per controller and action, e.g., it is not possible to insert or update a field value when it was not intended to be part of that action.",Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,Primary cues: \buser input\b.
OWASP_ASVS.json,proxying || middleware components || original IP address,All applications utilizing proxying and middleware components.,"Verify that all proxying and middleware components transfer the user’s original IP address correctly using trusted data fields that cannot be manipulated by the end user, and the application and web server use this correct value for logging and security decisions such as rate limiting, taking into account that even the original IP address may not be reliable due to dynamic IPs, VPNs, or corporate firewalls.",Application Security Verification Standard May 2025,Observation,Evaluation/Reflection,Primary cues: \blog(?:ging)?\b.
OWASP_ASVS.json,variables || correct type || strict equality || comparator operations,All applications handling variable types.,Verify that the application explicitly ensures that variables are of the correct type and performs strict equality and comparator operations. This is to avoid type juggling or type confusion vulnerabilities caused by the application code making an assumption about a variable type.,Application Security Verification Standard May 2025,Evaluation/Reflection,,"Primary cues: \bverif(?:y|ication)\b, \bvulnerabilit(?:y|ies)\b."
OWASP_ASVS.json,JavaScript code || prototype pollution,All applications utilizing JavaScript.,"Verify that JavaScript code is written in a way that prevents prototype pollution, for example, by using Set() or Map() instead of object literals.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,HTTP parameter pollution attacks || application framework,All applications using an application framework.,"Verify that the application has defenses against HTTP parameter pollution attacks, particularly if the application framework makes no distinction about the source of request parameters (query string, body parameters, cookies, or header fields).",Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,"Primary cues: \bquery string\b, \brequest parameters?\b."
OWASP_ASVS.json,shared objects || multi-threaded code || race conditions || data corruption,All applications with multi-threaded code.,"Verify that shared objects in multi-threaded code (such as caches, files, or in-memory objects accessed by multiple threads) are accessed safely by using thread-safe types and synchronization mechanisms like locks or semaphores to avoid race conditions and data corruption.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,resource's state || atomic operation || time-of-check to time-of-use (TOCTOU),All applications performing resource checks.,"Verify that checks on a resource’s state, such as its existence or permissions, and the actions that depend on them are performed as a single atomic operation to prevent time-of-check to time-of-use (TOCTOU) race conditions. For example, checking if a file exists before opening it, or verifying a user’s access before granting it.",Application Security Verification Standard May 2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bpermissions?\b.
OWASP_ASVS.json,locks || locking logic,All applications using locks in multi-threaded environments.,"Verify that locks are used consistently to avoid threads getting stuck, whether by waiting on each other or trying endlessly, and that locking logic stays within the code responsible for managing the resource to ensure locks cannot be inadvertently or maliciously modified by external classes or code.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,resource allocation policies || thread starvation,All applications managing resource allocation.,"Verify that resource allocation policies prevent thread starvation by ensuring fair access to resources, such as by leveraging thread pools, allowing lower-priority threads to proceed within a reasonable timeframe.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,security logs || error logs || performance logs,All applications generating logs.,"Security logs are distinct from error or performance logs and are used to record security-relevant events such as authentication decisions, access control decisions, and attempts to bypass security controls, such as input validation or business logic validation. Their purpose is to support detection, response, and investigation by providing high-signal, structured data for analysis tools like SIEMs.",Application Security Verification Standard May 2025,Evaluation/Reflection,Perception/Input; Action/Tool Use,"Primary cues: \bverif(?:y|ication)\b, \banaly(?:ze|sis)\b."
OWASP_ASVS.json,sensitive personal data || logged data,All applications handling sensitive data.,"Logs should not include sensitive personal data unless legally required, and any logged data must be protected as a high-value asset. Logging must not compromise privacy or system security.",Application Security Verification Standard May 2025,Observation,Evaluation/Reflection,Primary cues: \blog(?:ging)?\b.
OWASP_ASVS.json,logging inventory || application stack,All applications with logging mechanisms.,"Verify that an inventory exists documenting the logging performed at each layer of the application’s technology stack, what events are being logged, log formats, where that logging is stored, how it is used, how access to it is controlled, and for how long logs are kept.",Application Security Verification Standard May 2025,Observation,Evaluation/Reflection,Primary cues: \blog(?:ging)?\b.
OWASP_ASVS.json,log entry || metadata,All applications generating log entries.,"Verify that each log entry includes necessary metadata (such as when, where, who, what) that would allow for a detailed investigation of the timeline when an event happens.",Application Security Verification Standard May 2025,Observation,Memory Update; Evaluation/Reflection,Primary cues: \blog(?:ging)?\b.
OWASP_ASVS.json,time sources || synchronized timestamps,All applications generating logs.,"Verify that time sources for all logging components are synchronized, and that timestamps in security event metadata use UTC or include an explicit timezone offset. UTC is recommended to ensure consistency across distributed systems and to prevent confusion during daylight saving time transitions.",Application Security Verification Standard May 2025,Observation,Memory Update; Evaluation/Reflection,Primary cues: \blog(?:ging)?\b.
